distance,physical_error_probability,algorithm,seed,windows,logical_failure,wall_seconds
3,0.0005,belief_matching,0,9,False,1.48067
3,0.0005,belief_matching,1,9,False,0.013026
3,0.0005,belief_matching,2,9,False,0.012745
3,0.0005,belief_matching,3,9,False,0.013287
3,0.0005,belief_matching,4,9,False,0.013548
3,0.0005,belief_matching,5,9,False,0.012696
3,0.0005,belief_matching,6,9,False,0.021771
3,0.0005,belief_matching,7,9,False,0.013005
3,0.0005,belief_matching,8,9,False,0.012637
3,0.0005,belief_matching,9,9,False,0.01357
3,0.0005,belief_matching,10,9,False,0.012694
3,0.0005,belief_matching,11,9,False,0.013277
3,0.0005,belief_matching,12,9,False,0.016252
3,0.0005,belief_matching,13,9,False,0.012689
3,0.0005,belief_matching,14,9,False,0.013242
3,0.0005,belief_matching,15,9,False,0.013243
3,0.0005,belief_matching,16,9,False,0.012797
3,0.0005,belief_matching,17,9,False,0.015324
3,0.0005,belief_matching,18,9,False,0.013513
3,0.0005,belief_matching,19,9,False,0.012637
3,0.0005,belief_matching,20,9,False,0.016175
3,0.0005,belief_matching,21,9,False,0.012609
3,0.0005,belief_matching,22,9,False,0.013596
3,0.0005,belief_matching,23,9,False,0.013407
3,0.0005,belief_matching,24,9,False,0.012835
3,0.0005,belief_matching,25,9,False,0.012542
3,0.0005,belief_matching,26,9,False,0.012559
3,0.0005,belief_matching,27,9,False,0.013187
3,0.0005,belief_matching,28,9,False,0.012637
3,0.0005,belief_matching,29,9,False,0.013713
3,0.0005,belief_matching,30,9,False,0.01257
3,0.0005,belief_matching,31,9,False,0.013165
3,0.0005,belief_matching,32,9,False,0.013209
3,0.0005,belief_matching,33,9,False,0.012611
3,0.0005,belief_matching,34,9,False,0.013221
3,0.0005,belief_matching,35,9,False,0.01381
3,0.0005,belief_matching,36,9,False,0.012584
3,0.0005,belief_matching,37,9,False,0.012834
3,0.0005,belief_matching,38,9,False,0.013238
3,0.0005,belief_matching,39,9,False,0.012662
3,0.0005,belief_matching,40,9,False,0.015802
3,0.0005,belief_matching,41,9,False,0.013163
3,0.0005,belief_matching,42,9,False,0.01303
3,0.0005,belief_matching,43,9,False,0.015981
3,0.0005,belief_matching,44,9,False,0.016197
3,0.0005,belief_matching,45,9,False,0.01339
3,0.0005,belief_matching,46,9,False,0.012551
3,0.0005,belief_matching,47,9,False,0.013243
3,0.0005,belief_matching,48,9,False,0.013095
3,0.0005,belief_matching,49,9,False,0.012536
3,0.0005,belief_matching,50,9,False,0.013106
3,0.0005,belief_matching,51,9,False,0.01267
3,0.0005,belief_matching,52,9,False,0.012582
3,0.0005,belief_matching,53,9,False,0.01258
3,0.0005,belief_matching,54,9,False,0.019069
3,0.0005,belief_matching,55,9,False,0.012638
3,0.0005,belief_matching,56,9,False,0.013222
3,0.0005,belief_matching,57,9,False,0.013756
3,0.0005,belief_matching,58,9,False,0.012652
3,0.0005,belief_matching,59,9,False,0.013341
3,0.0005,belief_matching,60,9,False,0.013099
3,0.0005,belief_matching,61,9,False,0.013975
3,0.0005,belief_matching,62,9,False,0.012618
3,0.0005,belief_matching,63,9,False,0.012655
3,0.0005,belief_matching,64,9,False,0.012651
3,0.0005,belief_matching,65,9,False,0.012561
3,0.0005,belief_matching,66,9,False,0.013205
3,0.0005,belief_matching,67,9,False,0.01271
3,0.0005,belief_matching,68,9,False,0.012661
3,0.0005,belief_matching,69,9,False,0.013969
3,0.0005,belief_matching,70,9,False,0.01258
3,0.0005,belief_matching,71,9,False,0.012726
3,0.0005,belief_matching,72,9,False,0.013198
3,0.0005,belief_matching,73,9,False,0.012622
3,0.0005,belief_matching,74,9,False,0.012572
3,0.0005,belief_matching,75,9,False,0.018818
3,0.0005,belief_matching,76,9,False,0.013837
3,0.0005,belief_matching,77,9,False,0.013714
3,0.0005,belief_matching,78,9,False,0.01387
3,0.0005,belief_matching,79,9,False,0.013293
3,0.0005,belief_matching,80,9,False,0.013444
3,0.0005,belief_matching,81,9,False,0.013222
3,0.0005,belief_matching,82,9,False,0.012582
3,0.0005,belief_matching,83,9,False,0.013193
3,0.0005,belief_matching,84,9,False,0.012646
3,0.0005,belief_matching,85,9,False,0.013161
3,0.0005,belief_matching,86,9,False,0.013717
3,0.0005,belief_matching,87,9,False,0.012691
3,0.0005,belief_matching,88,9,False,0.012542
3,0.0005,belief_matching,89,9,False,0.013207
3,0.0005,belief_matching,90,9,False,0.013012
3,0.0005,belief_matching,91,9,False,0.012762
3,0.0005,belief_matching,92,9,False,0.012766
3,0.0005,belief_matching,93,9,False,0.013222
3,0.0005,belief_matching,94,9,False,0.013142
3,0.0005,belief_matching,95,9,False,0.01262
3,0.0005,belief_matching,96,9,False,0.018442
3,0.0005,belief_matching,97,9,False,0.013758
3,0.0005,belief_matching,98,9,False,0.012632
3,0.0005,belief_matching,99,9,False,0.012672
